"version","version_season","season","episode","castaway","castaway_id","confessional_count","confessional_time","exp_count","exp_time"
"US","US49",49,1,"Alex","US0734",11,200,8.26548453924617,150.281537077203
"US","US49",49,1,"Annie","US0735",2,49,4.4357788337912,108.676581427884
"US","US49",49,1,"Jake","US0736",8,133,4.4357788337912,73.7448231117788
"US","US49",49,1,"Jason","US0737",2,22,2.93057396902594,32.2363136592853
"US","US49",49,1,"Jawan","US0738",5,109,2.77411230610211,60.4756482730259
"US","US49",49,1,"Jeremiah","US0739",6,121,4.4357788337912,89.4548731481226
"US","US49",49,1,"Kristina","US0740",2,39,2.93057396902594,57.1461923960058
"US","US49",49,1,"Matt","US0741",3,45,2.93057396902594,43.958609535389
"US","US49",49,1,"MC","US0742",1,8,2.93057396902594,23.4445917522075
"US","US49",49,1,"Nate","US0743",4,74,2.77411230610211,51.321077662889
"US","US49",49,1,"Nicole","US0744",5,27,6.65769000006592,35.951526000356
"US","US49",49,1,"Rizo","US0745",12,196,6.76027967448091,110.417901349855
"US","US49",49,1,"Sage","US0746",1,28,2.77411230610211,77.675144570859
"US","US49",49,1,"Savannah","US0747",6,117,2.77411230610211,54.0951899689911
"US","US49",49,1,"Shannon","US0748",4,57,2.77411230610211,39.531100361955
"US","US49",49,1,"Sophi","US0749",8,106,4.4357788337912,58.7740695477334
"US","US49",49,1,"Sophie","US0750",2,22,2.93057396902594,32.2363136592853
"US","US49",49,1,"Steven","US0751",5,95,2.93057396902594,55.6809054114928
"US","US49",49,2,"Alex","US0734",10,209,9.28442848080266,194.044555248776
"US","US49",49,2,"Annie","US0735",4,76,5.18041599409855,98.4279038878725
"US","US49",49,2,"Jake","US0736",8,112,6.3956095411534,89.5385335761475
"US","US49",49,2,"Jason","US0737",0,0,2.24515378354451,0
"US","US49",49,2,"Jawan","US0738",5,77,8.03138076827448,123.683263831427
"US","US49",49,2,"Jeremiah","US0739",3,59,3.5010645312165,68.8542691139245
"US","US49",49,2,"Kristina","US0740",0,0,2.24515378354451,0
"US","US49",49,2,"Matt","US0741",5,51,5.1396987934814,52.4249276935103
"US","US49",49,2,"MC","US0742",2,34,2.24515378354451,38.1676143202567
"US","US49",49,2,"Nate","US0743",1,46,2.24515378354451,103.277074043047
"US","US49",49,2,"Rizo","US0745",1,20,2.24515378354451,44.9030756708902
"US","US49",49,2,"Sage","US0746",1,10,2.24515378354451,22.4515378354451
"US","US49",49,2,"Savannah","US0747",5,103,2.24515378354451,46.2501679410169
