season,episode,castaway_id,castaway,tribe,eliminated,confessionals_prev_ep,confessionals_last_2_ep,confessionals_last_3_ep,confessionals_cumulative,confessional_time_prev_ep,confessional_time_last_2_ep,confessional_time_last_3_ep,confessional_time_cumulative,votes_against_prev_ep,votes_against_last_2_ep,votes_against_last_3_ep,votes_against_cumulative,times_received_votes,voting_accuracy_prev_ep,voting_accuracy_last_2_ep,voting_accuracy_last_3_ep,voting_accuracy_cumulative,individual_wins_prev_ep,individual_wins_last_2_ep,individual_wins_last_3_ep,individual_wins_cumulative,has_immunity_this_tribal,num_tribe_swaps,has_idol,has_extra_vote,has_steal_vote,has_block_vote,has_idol_nullifier,has_other_advantage,advantages_in_circulation,players_remaining,day,gender,age,age_bucket,race_cat,collar,personality_type
1,7,US0007,Gretchen,Rattana,True,10,14,20,30,0.0,0.0,0.0,0.0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,False,0,False,False,False,False,False,False,0,10,21,Female,38.0,30-39,White,White collar,ESFJ
1,7,US0008,Greg,Rattana,False,1,5,11,19,0.0,0.0,0.0,0.0,0,0,0,0,0,1.0,1.0,0.5,0.3333333333333333,0,0,0,0,True,0,False,False,False,False,False,False,0,10,21,Male,24.0,18-24,White,Unknown,INTP
1,7,US0009,Jenna,Rattana,False,6,11,16,22,0.0,0.0,0.0,0.0,2,2,3,3,2,1.0,1.0,1.0,1.0,0,0,0,0,False,0,False,False,False,False,False,False,0,10,21,Female,22.0,18-24,White,Unknown,ENFP
1,7,US0010,Gervase,Rattana,False,9,13,21,32,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.3333333333333333,0,0,0,0,False,0,False,False,False,False,False,False,0,10,21,Male,30.0,30-39,Black,No collar,ESTP
1,7,US0011,Colleen,Rattana,False,10,13,18,26,0.0,0.0,0.0,0.0,0,0,2,2,1,1.0,1.0,1.0,1.0,0,0,0,0,False,0,False,False,False,False,False,False,0,10,21,Female,23.0,18-24,White,Unknown,INFP
1,7,US0012,Sean,Rattana,False,2,13,18,27,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.6666666666666666,0,0,0,0,False,0,False,False,False,False,False,False,0,10,21,Male,30.0,30-39,White,White collar,INTP
1,7,US0013,Sue,Rattana,False,3,7,11,20,0.0,0.0,0.0,0.0,0,1,1,1,1,0.0,1.0,1.0,1.0,0,0,0,0,False,0,False,False,False,False,False,False,0,10,21,Female,38.0,30-39,White,Blue collar,ESTP
1,7,US0014,Rudy,Rattana,False,4,8,9,18,0.0,0.0,0.0,0.0,0,1,1,6,3,0.0,1.0,1.0,1.0,0,0,0,0,False,0,False,False,False,False,False,False,0,10,21,Male,72.0,50+,White,Unknown,ISTJ
1,7,US0015,Kelly,Rattana,False,2,11,14,24,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.3333333333333333,0,0,0,0,False,0,False,False,False,False,False,False,0,10,21,Female,22.0,18-24,White,No collar,ISFP
1,7,US0016,Richard,Rattana,False,6,10,18,36,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.6666666666666666,0,0,0,0,False,0,False,False,False,False,False,False,0,10,21,Male,39.0,30-39,White,White collar,ENTP
1,8,US0008,Greg,Rattana,True,7,8,12,26,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.5,0.5,0.25,1,1,1,1,False,0,False,False,False,False,False,False,0,9,24,Male,24.0,18-24,White,Unknown,INTP
1,8,US0009,Jenna,Rattana,False,10,16,21,32,0.0,0.0,0.0,0.0,1,3,3,4,3,0.0,0.5,0.5,0.75,0,0,0,0,False,0,False,False,False,False,False,False,0,9,24,Female,22.0,18-24,White,Unknown,ENFP
