,us01,us02,us03,us04,us05,us06,us07,us08,us09,us10,us11,us12,us13,us14,us15,us16,us17,us18,us19,us20,us21,us22,us23,us24,us25,us26,us27,us28,us29,us30,us31,us32,us33,us34,us35,us36,us37,us38,us39,us40,us41,us42,us43,us44,us45,us46,us47,us48,us49
us01,0.0,0.22134865575903157,0.18599331669970415,0.17005223561178398,0.16134380919931146,0.2353933223831894,0.19396331845047657,0.17922960257297232,0.23013030318925867,0.07903267264772512,0.18039612829090235,0.1784278942042801,0.08932367407845936,0.165926908707002,0.22924142597515204,0.139961400977042,0.08932367407845937,0.2235964640282632,0.2568814181848263,0.1716288815403851,0.24769995107983797,0.2173909209227225,0.27445777796939386,0.23333536102564614,0.21419477630527717,0.33594393726245614,0.32303073831378004,0.1936827205214343,0.3440051075229002,0.13001539759259292,0.29402567278733105,0.16826522478235437,0.2866416437811098,0.20194493914225412,0.23348286314244446,0.3028580700521995,0.17570005323300605,0.27548968597908247,0.19349743902853608,0.2271691905136098,0.22433804426930348,0.29693950396509533,0.25043365167023557,0.25169445275438185,0.27610185328980763,0.18666905119422175,0.2574449838475167,0.24232437152091366,0.08979133729352982
us02,0.22134865575903157,0.0,0.13212923591230377,0.1874204292671175,0.11588694469446197,0.1195347177720116,0.12395413515442752,0.16896310850133883,0.09489894684866258,0.23367715313688742,0.13079458772496497,0.1672363657091993,0.19384998407940204,0.1355413607039095,0.1573753527742849,0.1447561427192064,0.1692005512124953,0.09780635466686591,0.18758455524553758,0.11696925099219646,0.20568938484588267,0.16671832506900058,0.17308883680065262,0.21973526428694265,0.18995771590923277,0.23410127851228701,0.22002158937191751,0.1494885466972751,0.20074570920694837,0.2129337427246565,0.13821245644895436,0.29390253983036496,0.033671751485073696,0.15975375426807184,0.2631933849731614,0.2643232491578285,0.15741543819271953,0.10999438818457408,0.2060498348488288,0.1386153769468867,0.22635998566317517,0.2619662265538733,0.23275598214057192,0.1320656812367162,0.2906015154510089,0.20717480427621734,0.20469618923634386,0.359899201508861,0.30278039085257685
us03,0.18599331669970415,0.13212923591230377,0.0,0.1936827205214343,0.12706767696733923,0.16246620091548056,0.1769871437434186,0.07856742013183861,0.17318576905145894,0.1282155167058038,0.06937602993131596,0.18743941660024355,0.08838834764831845,0.12436062843103224,0.09676620010115224,0.04374088826398532,0.15573185061846584,0.18820204303636617,0.2077876061365818,0.16603380315616098,0.14541014454894158,0.0965256875905446,0.19329188769169683,0.21015177948161928,0.2116623128915053,0.3303414367110744,0.2366491074095021,0.15706469078141666,0.2830594588623535,0.23463833970692902,0.24165429141885106,0.2769923419577887,0.18467659252770657,0.12783380655609786,0.24971246328490485,0.24596883039832412,0.18091081963314667,0.1447453464970029,0.2626183773437526,0.26168231442469186,0.3475782910094405,0.20539768405894948,0.16204530402191714,0.2581916885077721,0.2255942260621971,0.08932367407845937,0.21710850484629074,0.23334523779156066,0.14458793620595145
us04,0.17005223561178398,0.1874204292671175,0.1936827205214343,0.0,0.1986633337619348,0.17796923649506657,0.1818325654552949,0.167476878219807,0.1856471695562619,0.16545683479274761,0.20662367277656035,0.15897381035906238,0.20521061877292132,0.23602136225160855,0.19609786698211965,0.23405167618730546,0.20521061877292135,0.20844417585998,0.18324676696017078,0.2574068573777884,0.19596959364312888,0.1800217545076128,0.09315851244203723,0.22607281823659012,0.2701109429160608,0.4074076100397777,0.2057964719297094,0.22872075968863997,0.2483445883959588,0.23260860112365944,0.25185482434243667,0.19318341175115375,0.18052302482020344,0.2443950105177851,0.24731349561214586,0.2726893651625202,0.2718126705134853,0.11289390011801097,0.12514378351383648,0.25309643915711655,0.3214518663493171,0.3580671506840254,0.29457114532782647,0.2355201154274729,0.23889597487592898,0.2479526259311782,0.2839614881420122,0.2871078009960617,0.27742880874887027
us05,0.16134380919931146,0.11588694469446197,0.12706767696733923,0.1986633337619348,0.0,0.14955869617953566,0.14955869617953566,0.08778396690141992,0.14955869617953566,0.18783655142013442,0.12706767696733923,0.24428421776567855,0.18783655142013442,0.2090497548557309,0.15825723197984637,0.08249579113843056,0.15825723197984637,0.0864241621450225,0.11111677990074317,0.08754655386119162,0.0,0.10534076028170389,0.167685322395667,0.1619093027766277,0.11111677990074317,0.2150696998435763,0.26196622655387336,0.07295546155099301,0.29240723528813173,0.21949447554942583,0.2120866902227096,0.2743680944367823,0.0919238815542512,0.14625624644012497,0.23473900910859974,0.1801438704451443,0.15362736615064873,0.114904851942814,0.1212183053462653,0.1801438704451443,0.3274577831923417,0.27119403185253527,0.10311973892303818,0.22433804426930348,0.20995626366712955,0.10943319232648951,0.16940557558611313,0.1581924546466254,0.17556793380283983
us06,0.2353933223831894,0.1195347177720116,0.16246620091548056,0.17796923649506657,0.14955869617953566,0.0,0.06502857005554857,0.15424869013638523,0.037319524562623343,0.19959866019207573,0.1375613266885902,0.1896842000325818,0.2814397228294076,0.18766449088505507,0.17504088907495535,0.17169354390726535,0.21409621985926022,0.16554864550777318,0.1910471042593586,0.15096168582474706,0.19310489121177898,0.19689957535081187,0.11023490069518173,0.2580726165761361,0.24322937732660388,0.3251527020419108,0.11636611003344968,0.1565603417557038,0.210764997502015,0.2358054539401476,0.2059547472898616,0.31486176740738714,0.1702828575102298,0.18594289431201805,0.3397182087399362,0.20775470666290471,0.26063229119146486,0.17509310772238318,0.15432886097325443,0.18848870221001368,0.17585235843556463,0.2619662265538733,0.23275598214057192,0.1755042228509299,0.3041349933782593,0.25292093230883,0.34402605940391756,0.276445079692455,0.3163138687798273
us07,0.19396331845047657,0.12395413515442752,0.1769871437434186,0.1818325654552949,0.14955869617953566,0.06502857005554857,0.0,0.15064100247727016,0.06699275555884453,0.165926908707002,0.11672693045720084,0.19473496275534283,0.2477679713443339,0.13242448564143797,0.19260292930168815,0.17340952014812952,0.24776797134433393,0.16554864550777318,0.1604696267455741,0.15962013620662316,0.21894824409159427,0.17308883680065262,0.1200635249634857,0.21072404065303577,0.23422679666525936,0.2973862625344052,0.18217422372784667,0.16413648583984536,0.2527001822542152,0.2246234818791186,0.20054135611896146,0.25921872908592697,0.17533362023299087,0.20909005382874066,0.25967347683284675,0.26561829735065473,0.23387620422747546,0.22812611631137425,0.11392275919116598,0.19931548455181403,0.1859797467884638,0.2569154638311123,0.18856180831641267,0.1314935328801058,0.25362736615064874,0.2518417254814748,0.357559537331168,0.23603897791036657,0.23345386091440168
us08,0.17922960257297232,0.16896310850133883,0.07856742013183861,0.167476878219807,0.08778396690141992,0.15424869013638523,0.15064100247727016,0.0,0.15424869013638523,0.12439841520874446,0.05611958580845617,0.20029653896590552,0.18005033780213017,0.1828161196156568,0.1477791652630839,0.1426930264617946,0.24739384077227755,0.20871264056002906,0.08932367407845937,0.1622791356294524,0.08748177652797064,0.02618914004394621,0.11027498611361634,0.1674614399940109,0.19767297861583022,0.36310294317382813,0.24870329777447486,0.15552935721270653,0.3171716166160022,0.26983926439647604,0.28278179071928655,0.3121158520268109,0.157839916518976,0.11307662614550806,0.1817123260087603,0.30746103799790514,0.2522542240088712,0.1894078998227712,0.16375695138907503,0.30882276650379503,0.40650385610831946,0.23583869279320785,0.10311973892303818,0.3004019357935058,0.16666866096331814,0.2060498348488288,0.2817597221907587,0.12335084960698661,0.11583026452789363
us09,0.23013030318925867,0.09489894684866258,0.17318576905145894,0.1856471695562619,0.14955869617953566,0.037319524562623343,0.06699275555884453,0.15424869013638523,0.0,0.17340952014812952,0.10550482131989758,0.1634662700627596,0.27216225430449387,0.17075281936602268,0.18074822152111464,0.18394447891981205,0.20481875133434646,0.14717845346344913,0.14839621904493194,0.12474375585492485,0.21894824409159427,0.1706816453809897,0.13043795158622595,0.23970242453181206,0.2204876017279623,0.28649822513028866,0.11237781348136384,0.1261989185867658,0.18698141428679077,0.20652007577511866,0.18217116407463738,0.30092137240206207,0.14212769074068807,0.17260991235406023,0.30589633934832755,0.2360389779103666,0.24503919963383425,0.18938586523702103,0.12290189292051898,0.15977386567688562,0.17585235843556463,0.2619662265538733,0.23275598214057192,0.13314488806407135,0.3041349933782593,0.26063229119146486,0.32023775866854254,0.30787204774519045,0.2875561971017695
us10,0.07903267264772512,0.23367715313688742,0.1282155167058038,0.16545683479274761,0.18783655142013442,0.19959866019207573,0.165926908707002,0.12439841520874446,0.17340952014812952,0.0,0.08511470514282517,0.1581420999692087,0.08314794192830981,0.19013315671904946,0.17397071600621405,0.15385862004696457,0.16396014549248666,0.2729608632028067,0.15825723197984637,0.20595598707801335,0.23479568927516803,0.17228423559293965,0.24625274252750562,0.25756761462099154,0.28181127569024456,0.41702729719136394,0.25523187625685856,0.21793105822283806,0.3855202702642716,0.14366613966964775,0.3275530358433681,0.21336811973687675,0.3275530358433681,0.21535529449117458,0.20820366334937235,0.3510224855649946,0.23756554836659946,0.32105294715589167,0.18014387044514424,0.27238268081884415,0.3075353302303397,0.3451354527220053,0.2749859704614352,0.27238268081884415,0.24186673631738387,0.16835875742536843,0.3353090015386268,0.16891995328345302,0.05237828008789242
