,us01,us02,us03,us04,us05,us06,us07,us08,us09,us10,us11,us12,us13,us14,us15,us16,us17,us18,us19,us20,us21,us22,us23,us24,us25,us26,us27,us28,us29,us30,us31,us32,us33,us34,us35,us36,us37,us38,us39,us40,us41,us42,us43,us44,us45,us46,us47,us48,us49
us01,100.0,77.86513442409684,81.40066833002959,82.9947764388216,83.86561908006885,76.46066776168105,80.60366815495235,82.07703974270277,76.98696968107413,92.09673273522749,81.96038717090977,82.157210579572,91.06763259215407,83.4073091292998,77.07585740248479,86.0038599022958,91.06763259215407,77.64035359717369,74.31185818151738,82.83711184596149,75.2300048920162,78.26090790772776,72.55422220306062,76.66646389743539,78.58052236947228,66.40560627375439,67.696926168622,80.63172794785658,65.59948924770997,86.9984602407407,70.5974327212669,83.17347752176457,71.33583562188902,79.8055060857746,76.65171368575555,69.71419299478005,82.4299946766994,72.45103140209174,80.65025609714638,77.28308094863903,77.56619557306965,70.30604960349048,74.95663483297645,74.83055472456182,72.38981467101924,81.33309488057783,74.25550161524833,75.76756284790864,91.02086627064702
us02,77.86513442409684,100.0,86.78707640876962,81.25795707328824,88.4113055305538,88.04652822279884,87.60458648455725,83.10368914986613,90.51010531513374,76.63228468631125,86.9205412275035,83.27636342908006,80.6150015920598,86.44586392960905,84.26246472257151,85.52438572807937,83.07994487875047,90.21936453331341,81.24154447544625,88.30307490078036,79.43106151541173,83.32816749309995,82.69111631993474,78.02647357130573,81.00422840907673,76.58987214877129,77.99784106280825,85.05114533027249,79.92542907930516,78.70662572753434,86.17875435510456,70.6097460169635,96.63282485149263,84.02462457319282,73.68066150268386,73.56767508421716,84.25845618072805,89.0005611815426,79.39501651511712,86.13846230531132,77.36400143368249,73.80337734461267,76.7244017859428,86.79343187632837,70.9398484548991,79.28251957237826,79.53038107636561,64.0100798491139,69.72196091474233
us03,81.40066833002959,86.78707640876962,100.0,80.63172794785658,87.29323230326608,83.75337990845195,82.30128562565814,92.14325798681614,82.68142309485411,87.17844832941962,93.06239700686841,81.25605833997565,91.16116523516816,87.56393715689677,90.32337998988478,95.62591117360147,84.42681493815341,81.17979569636337,79.22123938634182,83.3966196843839,85.45898554510585,90.34743124094554,80.67081123083032,78.98482205183808,78.83376871084947,66.96585632889256,76.3350892590498,84.29353092185833,71.69405411376465,76.5361660293071,75.83457085811489,72.30076580422113,81.53234074722934,87.21661934439021,75.02875367150952,75.4031169601676,81.90891803668534,85.52546535029971,73.73816226562474,73.83176855753082,65.24217089905595,79.46023159410504,83.79546959780828,74.1808311492228,77.4405773937803,91.06763259215407,78.28914951537092,76.66547622084393,85.54120637940485
us04,82.9947764388216,81.25795707328824,80.63172794785658,100.0,80.13366662380652,82.20307635049335,81.81674345447051,83.2523121780193,81.4352830443738,83.45431652072523,79.33763272234397,84.10261896409376,79.47893812270786,76.39786377483915,80.39021330178804,76.59483238126946,79.47893812270786,79.155582414002,81.67532330398292,74.25931426222117,80.4030406356871,81.99782454923871,90.68414875579627,77.39271817634099,72.98890570839392,59.25923899602223,79.42035280702906,77.12792403113599,75.16554116040413,76.73913988763405,74.81451756575633,80.68165882488462,81.94769751797966,75.5604989482215,75.26865043878541,72.73106348374799,72.81873294865147,88.71060998819891,87.48562164861636,74.69035608428834,67.8548133650683,64.19328493159746,70.54288546721736,76.44798845725272,76.1104025124071,75.20473740688219,71.60385118579877,71.28921990039383,72.25711912511296
us05,83.86561908006885,88.4113055305538,87.29323230326608,80.13366662380652,100.0,85.04413038204643,85.04413038204643,91.22160330985801,85.04413038204643,81.21634485798656,87.29323230326608,75.57157822343214,81.21634485798656,79.09502451442691,84.17427680201537,91.75042088615695,84.17427680201537,91.35758378549775,88.88832200992567,91.24534461388085,100.0,89.46592397182961,83.2314677604333,83.80906972233723,88.88832200992567,78.49303001564238,73.80337734461267,92.7044538449007,70.75927647118682,78.05055244505742,78.79133097772903,72.56319055632177,90.80761184457488,85.37437535598751,76.52609908914003,81.98561295548556,84.63726338493512,88.50951480571861,87.87816946537347,81.98561295548556,67.25422168076582,72.88059681474648,89.68802610769619,77.56619557306965,79.00437363328705,89.05668076735105,83.05944244138868,84.18075453533747,82.44320661971601
us06,76.46066776168105,88.04652822279884,83.75337990845195,82.20307635049335,85.04413038204643,100.0,93.49714299444514,84.57513098636149,96.26804754373767,80.04013398079243,86.24386733114098,81.03157999674183,71.85602771705923,81.23355091149449,82.49591109250447,82.83064560927346,78.59037801407398,83.44513544922269,80.89528957406414,84.90383141752528,80.6895108788221,80.31004246491882,88.97650993048182,74.19273834238639,75.67706226733961,67.48472979580892,88.36338899665503,84.34396582442962,78.92350024979851,76.41945460598524,79.40452527101384,68.51382325926129,82.97171424897702,81.4057105687982,66.02817912600638,79.22452933370953,73.93677088085352,82.49068922776168,84.56711390267455,81.15112977899864,82.41476415644354,73.80337734461267,76.7244017859428,82.44957771490701,69.58650066217406,74.707906769117,65.59739405960825,72.3554920307545,68.36861312201728
us07,80.60366815495235,87.60458648455725,82.30128562565814,81.81674345447051,85.04413038204643,93.49714299444514,100.0,84.93589975227297,93.30072444411554,83.4073091292998,88.32730695427992,80.52650372446571,75.2232028655666,86.7575514358562,80.73970706983118,82.65904798518704,75.2232028655666,83.44513544922269,83.9530373254426,84.03798637933768,78.10517559084057,82.69111631993474,87.99364750365143,78.92759593469643,76.57732033347406,70.26137374655947,81.78257762721533,83.58635141601548,74.72998177457848,77.53765181208814,79.94586438810384,74.07812709140731,82.46663797670091,79.09099461712593,74.03265231671531,73.43817026493453,76.61237957725245,77.18738836886257,88.6077240808834,80.0684515448186,81.40202532115362,74.30845361688877,81.14381916835873,86.85064671198943,74.63726338493512,74.81582745185251,64.2440462668832,76.39610220896334,76.65461390855984
us08,82.07703974270277,83.10368914986613,92.14325798681614,83.2523121780193,91.22160330985801,84.57513098636149,84.93589975227297,100.0,84.57513098636149,87.56015847912555,94.38804141915438,79.97034610340945,81.99496621978697,81.71838803843431,85.22208347369161,85.73069735382055,75.26061592277225,79.1287359439971,91.06763259215407,83.77208643705475,91.25182234720293,97.38108599560537,88.97250138863836,83.25385600059892,80.23270213841698,63.68970568261718,75.12967022255252,84.44706427872934,68.28283833839978,73.0160735603524,71.72182092807134,68.78841479731891,84.2160083481024,88.69233738544919,81.82876739912398,69.25389620020948,74.77457759911287,81.05921001772288,83.6243048610925,69.11772334962049,59.34961438916806,76.4161307206792,89.68802610769619,69.95980642064941,83.33313390366818,79.39501651511712,71.82402778092414,87.66491503930133,88.41697354721063
us09,76.98696968107413,90.51010531513374,82.68142309485411,81.4352830443738,85.04413038204643,96.26804754373767,93.30072444411554,84.57513098636149,100.0,82.65904798518704,89.44951786801025,83.65337299372403,72.7837745695506,82.92471806339773,81.92517784788853,81.6055521080188,79.51812486656536,85.28215465365508,85.1603780955068,87.52562441450752,78.10517559084057,82.93183546190103,86.9562048413774,76.0297575468188,77.95123982720376,71.35017748697113,88.7622186518636,87.38010814132342,81.30185857132093,79.34799242248813,81.78288359253627,69.90786275979379,85.7872309259312,82.73900876459398,69.41036606516724,76.39610220896333,75.49608003661658,81.0614134762979,87.7098107079481,84.02261343231143,82.41476415644354,73.80337734461267,76.7244017859428,86.68551119359287,69.58650066217406,73.93677088085352,67.97622413314575,69.21279522548096,71.24438028982306
us10,92.09673273522749,76.63228468631125,87.17844832941962,83.45431652072523,81.21634485798656,80.04013398079243,83.4073091292998,87.56015847912555,82.65904798518704,100.0,91.48852948571748,84.18579000307913,91.68520580716903,80.98668432809507,82.6029283993786,84.61413799530354,83.60398545075134,72.70391367971934,84.17427680201537,79.40440129219867,76.52043107248319,82.77157644070603,75.37472574724944,74.24323853790085,71.81887243097555,58.2972702808636,74.47681237431414,78.2068941777162,61.44797297357284,85.63338603303524,67.2446964156632,78.66318802631233,67.2446964156632,78.46447055088255,79.17963366506277,64.89775144350054,76.24344516334006,67.89470528441083,81.98561295548558,72.76173191811559,69.24646697696603,65.48645472779947,72.50140295385647,72.76173191811559,75.81332636826161,83.16412425746316,66.46909984613731,83.1080046716547,94.76217199121075
