"version","season","version_season","episode","sog_id","castaway_id","castaway","reward","lost_vote","game_played","chose_to_play","event"
"US",49,"US49",2,2,"US0736","Jake",NA,FALSE,NA,NA,NA
"US",49,"US49",2,2,"US0741","Matt",NA,FALSE,NA,NA,NA
"US",49,"US49",2,2,"US0738","Jawan","Challenge advantage",FALSE,NA,NA,NA
"US",49,"US49",5,6,"US0743","Nate","Regained vote",FALSE,NA,NA,NA
"US",49,"US49",5,6,"US0742","MC","Regained vote",FALSE,NA,NA,NA
"US",49,"US49",11,12,"US0751","Steven","Regained vote",FALSE,NA,NA,NA
"US",48,"US48",2,2,"US0728","Mitch","Block a vote",FALSE,NA,NA,NA
"US",48,"US48",2,2,"US0733","Thomas","Steal a Vote",FALSE,NA,NA,NA
"US",48,"US48",2,2,"US0727","Mary","Lost vote",TRUE,NA,NA,NA
"US",48,"US48",3,3,"US0724","Kamilla","Extra vote",FALSE,NA,NA,NA
"US",48,"US48",3,3,"US0716","Bianca","Lost vote",TRUE,NA,NA,NA
"US",48,"US48",3,3,"US0723","Justin","Lost vote",TRUE,NA,NA,NA
"US",48,"US48",8,9,"US0728","Mitch","Regained vote",FALSE,"Red White Ball Game",NA,NA
"US",48,"US48",8,9,"US0730","Shauhin","Regained vote",FALSE,"Red White Ball Game",NA,NA
"US",48,"US48",8,9,"US0731","Star","Lost vote",TRUE,"Red White Ball Game",NA,NA
"US",48,"US48",8,9,"US0724","Kamilla","Regained vote",FALSE,"Red White Ball Game",NA,NA
"US",48,"US48",11,12,"US0721","Eva","Regained vote",FALSE,"House of Cards",NA,NA
"US",47,"US47",3,3,"US0699","Anika","Steal a Vote",FALSE,NA,NA,NA
"US",47,"US47",3,3,"US0706","Kyle","Lost vote",TRUE,NA,NA,NA
"US",47,"US47",3,3,"US0708","Rome","Lost vote",TRUE,NA,NA,NA
"US",47,"US47",4,4,"US0698","Andy","Amulet",FALSE,NA,NA,NA
"US",47,"US47",4,4,"US0701","Caroline","Amulet",FALSE,NA,NA,NA
"US",47,"US47",4,4,"US0713","Teeny","Amulet; Lost vote",TRUE,NA,NA,NA
"US",47,"US47",9,10,"US0698","Andy","Regained vote",FALSE,NA,NA,NA
"US",47,"US47",9,10,"US0701","Caroline","Lost vote",TRUE,NA,NA,NA
"US",47,"US47",9,10,"US0707","Rachel","Regained vote",FALSE,NA,NA,NA
"US",47,"US47",9,10,"US0709","Sam","Regained vote",FALSE,NA,NA,NA
"US",47,"US47",11,12,"US0707","Rachel","Block a vote",FALSE,NA,NA,NA
"US",46,"US46",1,1,"US0694","Tevin","Extra vote",FALSE,NA,NA,NA
