feature,importance
players_remaining,0.062560566
individual_wins_last_2_ep,0.044713315
has_idol,0.04462195
individual_wins_last_3_ep,0.04359896
individual_wins_cumulative,0.043453474
voting_accuracy_last_3_ep,0.04013568
day,0.038998038
votes_against_prev_ep,0.038642824
confessional_time_prev_ep,0.036958598
voting_accuracy_prev_ep,0.036598135
individual_wins_prev_ep,0.03655062
times_received_votes,0.036065087
voting_accuracy_last_2_ep,0.03419305
age_bucket,0.03304126
votes_against_last_3_ep,0.033038396
age,0.030953264
confessionals_last_3_ep,0.030670919
personality_type,0.030309226
confessionals_cumulative,0.027645126
season,0.026477465
votes_against_last_2_ep,0.025122184
votes_against_cumulative,0.02482743
confessional_time_cumulative,0.024122471
race_cat,0.0232043
voting_accuracy_cumulative,0.022232799
num_tribe_swaps,0.022180052
confessionals_last_2_ep,0.020170702
confessionals_prev_ep,0.01986055
advantages_in_circulation,0.018461775
confessional_time_last_2_ep,0.0180318
collar,0.01754342
gender,0.015016531
has_steal_vote,0.0
has_block_vote,0.0
has_idol_nullifier,0.0
confessional_time_last_3_ep,0.0
has_extra_vote,0.0
has_other_advantage,0.0
