"version","version_season","season","palette"
"US","US49",49,NA
"US","US49",49,NA
"US","US49",49,NA
"US","US49",49,NA
"US","US49",49,NA
"US","US49",49,NA
"US","US48",48,"#1D221C"
"US","US48",48,"#5E5C37"
"US","US48",48,"#DDBD3F"
"US","US48",48,"#DDDCBD"
"US","US48",48,"#8A9264"
"US","US48",48,"#1F6C41"
"US","US47",47,NA
"US","US47",47,NA
"US","US47",47,NA
"US","US47",47,NA
"US","US47",47,NA
"US","US47",47,NA
"US","US46",46,NA
"US","US46",46,NA
"US","US46",46,NA
"US","US46",46,NA
"US","US46",46,NA
"US","US46",46,NA
"US","US45",45,"#472F20"
"US","US45",45,"#1F6657"
"US","US45",45,"#128CBB"
"US","US45",45,"#E2D29E"
"US","US45",45,"#EFBA2B"
"US","US45",45,"#99503C"
"US","US44",44,"#0654A5"
"US","US44",44,"#82B0CC"
"US","US44",44,"#E0D39F"
"US","US44",44,"#F1D607"
"US","US44",44,"#F78E05"
"US","US44",44,"#365A3B"
"US","US43",43,"#324A9A"
"US","US43",43,"#AB8CC9"
"US","US43",43,"#64BBE1"
"US","US43",43,"#C5DD5C"
"US","US43",43,"#258B52"
"US","US43",43,"#2E3C31"
"US","US43",43,"#81885C"
"US","US42",42,"#F1AD2E"
"US","US42",42,"#143459"
"US","US42",42,"#855926"
"US","US42",42,"#A69170"
"US","US42",42,"#B1D5DB"
"US","US41",41,"#ABC9E4"
"US","US41",41,"#6990A7"
"US","US41",41,"#1D4164"
"US","US41",41,"#F3A92B"
"US","US41",41,"#E8E086"
"US","US40",40,"#D7D3BE"
"US","US40",40,"#8A7884"
"US","US40",40,"#5D8CB2"
"US","US40",40,"#323965"
"US","US40",40,"#592825"
"US","US39",39,"#F2E26C"
"US","US39",39,"#A49F5A"
"US","US39",39,"#69ACCB"
"US","US39",39,"#0BAAAB"
"US","US39",39,"#2A284B"
"US","US38",38,"#899CBC"
"US","US38",38,"#48337B"
"US","US38",38,"#1E1B0A"
"US","US38",38,"#9C782E"
"US","US38",38,"#F0D638"
"US","US37",37,"#C6D09E"
"US","US37",37,"#878A82"
"US","US37",37,"#575751"
"US","US37",37,"#2A272D"
"US","US37",37,"#EDAB0F"
"US","US36",36,"#C7C2CF"
"US","US36",36,"#78719E"
"US","US36",36,"#47497F"
"US","US36",36,"#1D1952"
"US","US36",36,"#D18B30"
"US","US35",35,"#E8CA9F"
"US","US35",35,"#996F83"
"US","US35",35,"#B04930"
"US","US35",35,"#F49E29"
"US","US35",35,"#411244"
"US","US34",34,"#8FB1C6"
"US","US34",34,"#DDB750"
"US","US34",34,"#7F4044"
"US","US34",34,"#171F31"
"US","US34",34,"#154D9F"
"US","US33",33,"#8AC8CF"
"US","US33",33,"#3873A0"
"US","US33",33,"#5E4F2B"
"US","US33",33,"#1E1A17"
"US","US33",33,"#E0B471"
"US","US32",32,"#E7C17F"
"US","US32",32,"#DE7932"
"US","US32",32,"#A5362C"
"US","US32",32,"#1D0C09"
"US","US32",32,"#193264"
"US","US31",31,"#839561"
"US","US31",31,"#F0DD52"
"US","US31",31,"#299BD1"
"US","US31",31,"#5A139C"
"US","US31",31,"#1B160E"
"US","US30",30,"#A8AFA7"
"US","US30",30,"#EAAB2D"
"US","US30",30,"#855E37"
"US","US30",30,"#302E2A"
"US","US30",30,"#1E94C7"
"US","US29",29,"#E5BE62"
"US","US29",29,"#887B55"
"US","US29",29,"#324746"
"US","US29",29,"#191510"
"US","US29",29,"#089584"
"US","US28",28,"#757B6D"
"US","US28",28,"#49553A"
"US","US28",28,"#9D3729"
"US","US28",28,"#D2B64E"
"US","US28",28,"#180B06"
"US","US27",27,"#D6C06D"
"US","US27",27,"#A0633A"
"US","US27",27,"#522729"
"US","US27",27,"#100A0F"
"US","US27",27,"#266C89"
"US","US26",26,"#CC9C5C"
"US","US26",26,"#6A7553"
"US","US26",26,"#30897E"
"US","US26",26,"#393D36"
"US","US26",26,"#0E0C0A"
"US","US25",25,"#D1BB7F"
"US","US25",25,"#B27842"
"US","US25",25,"#7B2B49"
"US","US25",25,"#171D11"
"US","US25",25,"#45B2AB"
"US","US24",24,"#E1A632"
"US","US24",24,"#754D2D"
"US","US24",24,"#0A5449"
"US","US24",24,"#090A07"
"US","US24",24,"#0F8E9A"
"US","US23",23,"#E6C840"
"US","US23",23,"#7F5B39"
"US","US23",23,"#1F5732"
"US","US23",23,"#0C0904"
"US","US23",23,"#085E9E"
